PO ID,PO Date,Supplier ID,Category ID,Business Unit,Contract ID,Qty Ordered,Unit Price,Total Amount,Cycle Time (Days),Actual Delivery,Requested Delivery,On Time?,Delivery Variance (Days),Defect Rate (%),Payment Terms (Days),PO Status
PO-00001,04/28/2021,SUP-014,CAT-15,BU-07,,207,$273.30,"$56,572.22",7,05/02/2021,05/05/2021,1,-3,1.71%,90,Completed
PO-00002,09/18/2021,SUP-037,CAT-10,BU-02,CON-0093,320,"$1,085.99","$347,515.79",12,09/28/2021,09/30/2021,1,-2,2.93%,90,Completed
PO-00003,02/26/2021,SUP-044,CAT-02,BU-06,CON-0046,21,"$14,722.96","$309,182.22",8,03/05/2021,03/06/2021,1,-1,6.63%,60,Completed
PO-00004,01/05/2021,SUP-078,CAT-14,BU-03,CON-0110,379,$753.64,"$285,627.97",16,01/21/2021,01/21/2021,1,0,5.96%,30,Completed
PO-00005,07/27/2021,SUP-003,CAT-13,BU-06,CON-0007,408,"$12,018.41","$4,903,510.55",30,08/27/2021,08/26/2021,0,1,5.18%,60,Completed
PO-00006,01/21/2021,SUP-075,CAT-15,BU-04,CON-0112,318,$120.28,"$38,249.85",19,02/07/2021,02/09/2021,1,-2,1.22%,90,Completed
PO-00007,10/04/2021,SUP-025,CAT-04,BU-01,CON-0062,211,$694.80,"$146,602.07",31,11/20/2021,11/04/2021,0,16,13.47%,90,Completed
PO-00008,02/02/2021,SUP-018,CAT-03,BU-04,CON-0094,490,$303.53,"$148,727.59",20,02/21/2021,02/22/2021,1,-1,9.56%,90,Completed
PO-00009,04/28/2021,SUP-034,CAT-09,BU-08,,116,$596.25,"$69,164.59",6,05/02/2021,05/04/2021,1,-2,2.07%,60,Completed
PO-00010,05/16/2021,SUP-045,CAT-05,BU-05,,459,$192.06,"$88,154.14",8,05/22/2021,05/24/2021,1,-2,0.87%,90,Completed
PO-00011,08/23/2021,SUP-011,CAT-02,BU-06,CON-0046,424,$893.21,"$378,722.48",24,09/15/2021,09/16/2021,1,-1,1.96%,90,Completed
PO-00012,03/19/2021,SUP-031,CAT-06,BU-04,,120,"$22,708.62","$2,725,034.15",2,03/20/2021,03/21/2021,1,-1,2.15%,30,Pending
PO-00013,06/25/2021,SUP-018,CAT-13,BU-01,CON-0007,450,"$4,784.79","$2,153,155.77",30,07/23/2021,07/25/2021,1,-2,12.07%,90,Completed
PO-00014,02/10/2021,SUP-008,CAT-09,BU-02,CON-0055,480,$288.41,"$138,436.55",8,02/24/2021,02/18/2021,0,6,3.93%,60,Completed
PO-00015,07/02/2021,SUP-051,CAT-01,BU-08,,149,"$10,137.96","$1,510,556.24",43,08/13/2021,08/14/2021,1,-1,9.82%,30,Pending
PO-00016,07/11/2021,SUP-037,CAT-02,BU-08,CON-0046,259,"$1,725.27","$446,844.78",9,07/17/2021,07/20/2021,1,-3,0.99%,90,Completed
PO-00017,01/21/2021,SUP-033,CAT-15,BU-03,,346,$204.44,"$70,736.87",14,02/04/2021,02/04/2021,1,0,2.48%,60,Completed
PO-00018,12/03/2021,SUP-052,CAT-13,BU-02,,128,"$6,835.45","$874,937.00",15,12/16/2021,12/18/2021,1,-2,8.36%,30,Completed
PO-00019,04/11/2021,SUP-039,CAT-01,BU-01,,342,"$2,196.28","$751,126.58",10,04/19/2021,04/21/2021,1,-2,3.84%,30,Completed
PO-00020,08/23/2021,SUP-040,CAT-07,BU-02,CON-0036,491,$318.75,"$156,504.40",4,08/27/2021,08/27/2021,1,0,2.24%,30,Completed
PO-00021,02/14/2021,SUP-071,CAT-09,BU-08,CON-0055,306,$630.22,"$192,846.31",9,02/22/2021,02/23/2021,1,-1,1.55%,60,Completed
PO-00022,01/02/2021,SUP-071,CAT-14,BU-04,CON-0033,227,"$1,271.27","$288,578.88",10,01/12/2021,01/12/2021,1,0,1.64%,60,Completed
PO-00023,03/26/2021,SUP-008,CAT-12,BU-08,,287,$454.61,"$130,473.13",21,04/15/2021,04/16/2021,1,-1,6.06%,60,Completed
PO-00024,04/27/2021,SUP-001,CAT-09,BU-04,CON-0017,278,$401.75,"$111,687.37",2,05/02/2021,04/29/2021,0,3,2.96%,90,Completed
PO-00025,07/10/2021,SUP-053,CAT-03,BU-03,CON-0094,216,"$1,359.80","$293,716.65",26,08/18/2021,08/05/2021,0,13,8.38%,30,Completed
PO-00026,12/13/2021,SUP-049,CAT-13,BU-02,CON-0096,92,"$36,271.34","$3,336,963.67",24,01/04/2022,01/06/2022,1,-2,6.10%,30,Completed
PO-00027,11/01/2021,SUP-003,CAT-14,BU-05,CON-0110,127,"$6,466.96","$821,303.73",21,11/21/2021,11/22/2021,1,-1,2.32%,60,Completed
PO-00028,07/25/2021,SUP-015,CAT-14,BU-01,CON-0110,456,"$2,065.00","$941,638.65",15,08/06/2021,08/09/2021,1,-3,4.21%,60,Cancelled
PO-00029,01/20/2021,SUP-007,CAT-03,BU-04,CON-0066,387,$354.78,"$137,299.22",42,03/08/2021,03/03/2021,0,5,9.05%,90,Completed
PO-00030,01/27/2021,SUP-074,CAT-06,BU-06,CON-0069,339,"$2,321.60","$787,021.70",10,02/05/2021,02/06/2021,1,-1,0.83%,60,Completed
PO-00031,05/19/2021,SUP-023,CAT-04,BU-07,CON-0019,344,"$2,263.56","$778,663.48",8,05/26/2021,05/27/2021,1,-1,2.09%,90,Completed
PO-00032,10/10/2021,SUP-049,CAT-06,BU-03,CON-0105,440,"$1,815.47","$798,807.75",29,11/08/2021,11/08/2021,1,0,7.40%,30,Completed
PO-00033,03/14/2021,SUP-072,CAT-10,BU-03,CON-0093,473,$218.71,"$103,451.48",29,04/15/2021,04/12/2021,0,3,9.43%,60,Completed
PO-00034,02/02/2021,SUP-035,CAT-13,BU-07,CON-0067,390,"$11,265.07","$4,393,378.20",25,02/25/2021,02/27/2021,1,-2,4.36%,30,Completed
PO-00035,01/11/2021,SUP-039,CAT-15,BU-01,,383,$109.80,"$42,054.62",22,02/22/2021,02/02/2021,0,20,5.93%,30,Completed
PO-00036,09/08/2021,SUP-071,CAT-03,BU-06,CON-0066,158,$919.07,"$145,212.63",15,09/23/2021,09/23/2021,1,0,4.26%,60,Completed
PO-00037,01/24/2021,SUP-061,CAT-14,BU-06,CON-0110,380,"$18,082.63","$6,871,399.07",11,02/04/2021,02/04/2021,1,0,3.07%,60,Completed
PO-00038,08/08/2021,SUP-049,CAT-13,BU-04,CON-0096,495,"$2,899.33","$1,435,168.44",30,09/07/2021,09/07/2021,1,0,4.23%,30,Completed
PO-00039,09/12/2021,SUP-022,CAT-01,BU-03,CON-0104,329,"$1,242.84","$408,893.16",45,10/24/2021,10/27/2021,1,-3,13.07%,90,Pending
PO-00040,04/27/2021,SUP-007,CAT-01,BU-01,CON-0064,112,"$1,629.80","$182,537.49",31,05/25/2021,05/28/2021,1,-3,10.41%,90,Completed
PO-00041,10/20/2021,SUP-062,CAT-12,BU-08,,9,"$18,260.18","$164,341.62",23,11/11/2021,11/12/2021,1,-1,1.12%,60,Completed
PO-00042,04/22/2021,SUP-056,CAT-01,BU-03,,99,"$2,402.14","$237,812.09",11,05/02/2021,05/03/2021,1,-1,0.80%,60,Completed
PO-00043,04/12/2021,SUP-052,CAT-06,BU-08,CON-0105,435,"$1,735.60","$754,986.03",17,05/01/2021,04/29/2021,0,2,4.12%,30,Completed
PO-00044,09/18/2021,SUP-061,CAT-12,BU-01,,433,$493.82,"$213,825.09",20,10/07/2021,10/08/2021,1,-1,4.96%,60,Completed
PO-00045,11/04/2021,SUP-068,CAT-08,BU-01,,291,"$1,865.08","$542,738.32",30,12/01/2021,12/04/2021,1,-3,11.21%,90,Completed
PO-00046,02/18/2021,SUP-073,CAT-13,BU-01,,74,"$409,201.10","$30,280,881.62",14,03/04/2021,03/04/2021,1,0,2.79%,90,Completed
PO-00047,09/19/2021,SUP-031,CAT-10,BU-07,CON-0113,72,"$2,212.53","$159,302.48",14,10/06/2021,10/03/2021,0,3,1.50%,30,Completed
PO-00048,09/02/2021,SUP-013,CAT-09,BU-07,,315,$89.66,"$28,244.38",11,09/12/2021,09/13/2021,1,-1,0.09%,60,Completed
PO-00049,07/15/2021,SUP-063,CAT-07,BU-04,,349,"$1,081.20","$377,340.00",25,08/06/2021,08/09/2021,1,-3,6.41%,60,Completed
PO-00050,01/08/2021,SUP-010,CAT-01,BU-02,,79,"$10,012.66","$790,999.99",13,01/20/2021,01/21/2021,1,-1,0.32%,90,Cancelled
PO-00051,01/10/2021,SUP-057,CAT-12,BU-06,,221,$179.40,"$39,647.11",9,01/19/2021,01/19/2021,1,0,0.31%,30,Pending
PO-00052,04/18/2021,SUP-012,CAT-09,BU-06,CON-0017,44,"$1,819.17","$80,043.36",13,04/29/2021,05/01/2021,1,-2,1.72%,60,Completed
PO-00053,11/13/2021,SUP-022,CAT-04,BU-03,,86,"$2,752.01","$236,673.23",28,12/10/2021,12/11/2021,1,-1,8.81%,90,Pending
PO-00054,05/09/2021,SUP-032,CAT-13,BU-08,CON-0007,4,"$599,433.96","$2,397,735.84",8,05/17/2021,05/17/2021,1,0,2.41%,60,Completed
PO-00055,03/11/2021,SUP-056,CAT-01,BU-03,CON-0064,204,"$4,823.87","$984,069.00",7,03/18/2021,03/18/2021,1,0,2.90%,60,Completed
PO-00056,03/11/2021,SUP-049,CAT-02,BU-05,CON-0046,103,"$1,895.22","$195,207.46",25,04/11/2021,04/05/2021,0,6,5.77%,30,Completed
PO-00057,11/24/2021,SUP-060,CAT-13,BU-04,CON-0096,408,"$138,417.58","$56,474,372.10",20,12/12/2021,12/14/2021,1,-2,5.43%,60,Completed
PO-00058,08/22/2021,SUP-020,CAT-14,BU-07,CON-0023,299,"$2,344.97","$701,146.75",19,09/10/2021,09/10/2021,1,0,4.81%,30,Completed
PO-00059,10/12/2021,SUP-069,CAT-03,BU-02,,86,$953.34,"$81,986.98",27,11/08/2021,11/08/2021,1,0,7.77%,90,Completed
PO-00060,11/26/2021,SUP-056,CAT-10,BU-02,,266,$479.52,"$127,551.19",10,12/04/2021,12/06/2021,1,-2,1.34%,60,Completed
PO-00061,10/25/2021,SUP-076,CAT-14,BU-03,CON-0023,472,"$1,589.02","$750,018.07",45,12/07/2021,12/09/2021,1,-2,7.18%,90,Completed
PO-00062,04/26/2021,SUP-027,CAT-01,BU-08,CON-0064,164,"$5,514.78","$904,423.58",3,04/26/2021,04/29/2021,1,-3,0.07%,30,Completed
PO-00063,03/04/2021,SUP-022,CAT-07,BU-04,CON-0009,237,$600.97,"$142,431.02",22,04/01/2021,03/26/2021,0,6,5.24%,90,Completed
PO-00064,10/13/2021,SUP-004,CAT-14,BU-04,CON-0110,106,"$5,790.68","$613,811.88",15,10/25/2021,10/28/2021,1,-3,5.04%,60,Completed
PO-00065,01/18/2021,SUP-024,CAT-09,BU-06,CON-0079,251,$148.80,"$37,349.19",31,03/01/2021,02/18/2021,0,11,10.16%,30,Completed
PO-00066,05/19/2021,SUP-015,CAT-04,BU-06,CON-0086,362,"$1,396.05","$505,369.26",40,06/25/2021,06/28/2021,1,-3,11.07%,60,Completed
PO-00067,02/08/2021,SUP-040,CAT-06,BU-02,,215,"$9,818.45","$2,110,965.97",11,02/19/2021,02/19/2021,1,0,1.27%,30,Completed
PO-00068,12/18/2021,SUP-023,CAT-06,BU-03,CON-0029,318,"$2,020.71","$642,585.88",2,12/17/2021,12/20/2021,1,-3,1.45%,90,Completed
PO-00069,07/13/2021,SUP-072,CAT-13,BU-08,CON-0096,251,"$8,745.12","$2,195,026.09",20,07/30/2021,08/02/2021,1,-3,12.55%,60,Completed
PO-00070,04/02/2021,SUP-036,CAT-15,BU-04,CON-0112,396,$397.08,"$157,244.34",39,05/08/2021,05/11/2021,1,-3,9.87%,60,Completed
PO-00071,12/18/2021,SUP-047,CAT-04,BU-01,CON-0062,53,"$8,503.62","$450,692.02",30,01/25/2022,01/17/2022,0,8,3.08%,90,Completed
PO-00072,06/15/2021,SUP-034,CAT-05,BU-06,CON-0010,398,$172.53,"$68,665.14",14,06/28/2021,06/29/2021,1,-1,2.58%,60,Completed
PO-00073,03/14/2021,SUP-022,CAT-01,BU-03,CON-0064,273,"$5,936.30","$1,620,608.96",23,04/04/2021,04/06/2021,1,-2,6.88%,90,Completed
PO-00074,08/10/2021,SUP-074,CAT-09,BU-05,CON-0079,49,"$5,030.96","$246,517.19",4,08/28/2021,08/14/2021,0,14,2.76%,60,Completed
PO-00075,01/28/2021,SUP-017,CAT-04,BU-03,,390,"$1,481.47","$577,774.03",28,02/23/2021,02/25/2021,1,-2,5.04%,60,Completed
PO-00076,11/14/2021,SUP-049,CAT-04,BU-08,,207,"$3,100.68","$641,840.95",23,12/06/2021,12/07/2021,1,-1,4.18%,30,Completed
PO-00077,02/19/2021,SUP-001,CAT-09,BU-02,CON-0079,436,$372.39,"$162,361.73",3,02/22/2021,02/22/2021,1,0,0.65%,90,Completed
PO-00078,12/07/2021,SUP-064,CAT-04,BU-05,CON-0062,290,"$1,000.25","$290,071.47",22,12/31/2021,12/29/2021,0,2,1.32%,30,Completed
PO-00079,08/27/2021,SUP-059,CAT-13,BU-01,,1,"$4,316,727.68","$4,316,727.68",20,09/14/2021,09/16/2021,1,-2,7.18%,60,Completed
PO-00080,03/28/2021,SUP-036,CAT-13,BU-02,CON-0096,333,"$1,788.64","$595,618.55",20,04/16/2021,04/17/2021,1,-1,11.71%,60,Completed
PO-00081,04/14/2021,SUP-012,CAT-12,BU-02,,116,"$1,278.22","$148,273.95",10,04/21/2021,04/24/2021,1,-3,0.02%,60,Completed
PO-00082,08/04/2021,SUP-055,CAT-10,BU-03,CON-0037,53,"$3,427.08","$181,635.42",10,08/13/2021,08/14/2021,1,-1,1.96%,30,Completed
PO-00083,01/25/2021,SUP-018,CAT-14,BU-03,,85,"$10,197.32","$866,772.26",29,02/21/2021,02/23/2021,1,-2,10.54%,90,Completed
PO-00084,04/14/2021,SUP-079,CAT-03,BU-08,CON-0052,64,"$4,218.94","$270,011.95",33,05/29/2021,05/17/2021,0,12,14.56%,90,Completed
PO-00085,01/05/2021,SUP-032,CAT-10,BU-05,CON-0074,312,$819.64,"$255,727.53",6,01/08/2021,01/11/2021,1,-3,2.54%,60,Completed
